"id","betweennessG","indegreeG","outdegreeG","totaldegreeG","inclosenessG","outclosenessG","totalclosenessG","com_mod"
"ganzochnan",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"DoctoorSlump",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ahioros",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"LilianaBenitez",0,0,2,2,6.77409632874178e-10,6.77462528870066e-10,6.77462528870066e-10,8
"prinma",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"raymundo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"dnita",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"hinchadelatlas",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"Fernando_MG",0,0,4,4,6.77409632874178e-10,6.77480163316458e-10,6.77480163316458e-10,5
"SoyAeleen",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gonzoyarzabal",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ricardoampudia",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"DanielGCastel",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"pwoblematique",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"karlita_asecas",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"maskbalam",0,0,2,2,6.77409632874178e-10,6.77462528870066e-10,6.77462528870066e-10,5
"marco1985",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Miguel_Tresmas",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"luigidin",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"GaryBlds",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"pouch15",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gabrielrevelo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"rubenC23",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"EDER_INFO7",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,22
"w2kzzz",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"alismor",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"VikoGuzman",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"emiliodotheSKA",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"RobsAguilera",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"dmassry",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"FidelEsquivel",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"LeonEpitelio",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"davidpuma",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"armandoproyecto",0,0,5,5,6.77409632874178e-10,6.77515433586466e-10,6.77515433586466e-10,5
"EkikSelraC",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"InToKaBLe",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"geekesito",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Oli_Benny",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"rayit_o",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Moisesosmx",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"paty71",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sojulz_jj",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"karlatuitea",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"iLzth",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"leitoperez",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ocresp0",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"lavariega",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"DiGarcia17",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"minombreesjenny",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gueek",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Genarinnn",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jorgemichelgrau",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MdelaFuentel",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Huginho89",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MonseNavedo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ninnamx",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"cuisinedumonde",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"carlostacvbo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jorywar",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,8
"edgar_eec",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"SigurdH_",0,0,3,3,6.77409632874178e-10,6.77480162857478e-10,6.77480162857478e-10,5
"JaviBasay",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"PTJBuzz",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"lovacarhez",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"GeoUgalde",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"djluizzi",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"wanarana",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"crowjustice",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"mendezcomprende",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"amau77",0,0,16,16,6.77409632874178e-10,6.77762429260173e-10,6.77762429260173e-10,26
"_Octavio",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Sam_Castaneda",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sirgilmustaine",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"HK7Roiz",0,0,5,5,6.77409632874178e-10,6.77533069869134e-10,6.77533069869134e-10,5
"Zapatitos_blue",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"TonoEspiritu",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ingperlacantu",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"dolfan4ever",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"richardsonalva",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"lagmgame",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"YOENMP",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Zeltdrink",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"XyRCK",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"APau_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MikeBaroudi",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"slpwlkr",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"yellarr",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"charlymax22",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,16
"alex_murillo73",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"usted_no_dice",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"taponhg",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"cachetitos75",0,0,6,6,6.77409632874178e-10,6.77533070328185e-10,6.77533070328185e-10,5
"alfachio",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"ArdilladelBoske",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"yogilulis",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,19
"chiken_27",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jazzydavalos08",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,17
"msAlezhiCabrera",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"frankk23",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sabassbo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
